object_id,stop_id,stop_name,route_id,destination,day_type,peak_ind,average_sec,std_sec,p05_sec,p50_sec,p95_sec
532,70147,Boston University East,Green-B,Boston College,weekday,peak,418.85,266.82,83.85,369,927.15
533,70148,Blandford Street,Green-B,Park St,saturday,offpeak,595.67,366.22,85,554,1239.8
534,70148,Blandford Street,Green-B,Park St,sunday,offpeak,654.35,415.99,92.65,598.5,1408.4
535,70148,Blandford Street,Green-B,Park St,weekday,offpeak,484.96,294.26,95,445,1021.3
536,70148,Blandford Street,Green-B,Park St,weekday,peak,401.38,244.19,95,356,839.25
537,70149,Blandford Street,Green-B,Boston College,saturday,offpeak,558.27,357.57,89.8,509,1190.2
538,70149,Blandford Street,Green-B,Boston College,sunday,offpeak,584.53,373.31,75,544,1253.65
539,70149,Blandford Street,Green-B,Boston College,weekday,offpeak,440.07,290.6,81,395,987
540,70149,Blandford Street,Green-B,Boston College,weekday,peak,414.21,260.67,81,368,900
541,70151,Kenmore,Green-C,Cleveland Circle,saturday,offpeak,454.99,309.49,59,414,1019
542,70151,Kenmore,Green-C,Cleveland Circle,sunday,offpeak,500.83,333.71,59.35,469,1080
543,70151,Kenmore,Green-C,Cleveland Circle,weekday,offpeak,478.85,294.03,73,443,1007
544,70089,Fields Corner,Red,Ashmont,weekday,offpeak,704.6,307.72,277.65,672.5,1249.05
545,70151,Kenmore,Green-C,Cleveland Circle,weekday,peak,490.1,273.49,124.3,448,987
546,70151,Kenmore,Green-D,Riverside,saturday,offpeak,459.83,364.36,62,389,1030.4
547,70151,Kenmore,Green-D,Riverside,sunday,offpeak,504.3,352.38,72.65,455,1097.1
548,70151,Kenmore,Green-D,Riverside,weekday,offpeak,449.91,309.19,89,394.5,969.7
549,70151,Kenmore,Green-D,Riverside,weekday,peak,406.3,243.73,89,362,871.35
550,70153,Hynes Convention Center,Green-B,Boston College,saturday,offpeak,576.13,329.45,103.5,541.5,1144.75
551,70153,Hynes Convention Center,Green-B,Boston College,sunday,offpeak,593.43,317.37,116,571,1146
601,70159,Boylston,Green-D,Riverside,saturday,offpeak,747.23,401.66,192,696,1469
602,70159,Boylston,Green-D,Riverside,sunday,offpeak,807.29,433.36,231.9,732.5,1642.05
603,70159,Boylston,Green-D,Riverside,weekday,offpeak,466.17,304.15,125,408,954.6
604,70159,Boylston,Green-D,Riverside,weekday,peak,398.64,218.63,125,359,806.9
605,70159,Boylston,Green-E,Heath St,saturday,offpeak,562.99,280.61,119.6,553,1028
606,70159,Boylston,Green-E,Heath St,sunday,offpeak,664.98,309.81,133.15,696,1150.85
607,70159,Boylston,Green-E,Heath St,weekday,offpeak,484.16,223.69,142,472,863
608,70159,Boylston,Green-E,Heath St,weekday,peak,390.74,196.13,121,367,760
